Career Cluster,School District,High School,HS Course Name,HS Course Credits,HS Course Description,Type of Credit,HS Course CIP Code,College,College Course,College Course Name,College Credits,College Course Description,Applicable College Program,College Course CIP Code,Academic Years,Status of Articulation,Articulation,High School Teacher Name,Consortium Name
Education And Training,Everett,Mount Vernon High School,Careers with Children - FCS726 [Child Care Basics],1.0,"Introduces students to the fundamentals of child care, focusing on developmental stages, caregiving practices, and understanding children’s needs in early education settings.",Running Start,190708,Edmonds Community College,ECED& 100,Child Care Basics,5.0,"Introduces students to the basics of early childhood education, focusing on child development, caregiving, and creating a safe and stimulating learning environment.",Early Childhood Education,13.121,2025-2026,Active,Child Care Basics (ECED&100),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Skagit Valley,Mount Vernon High School,Microsoft Office - BAM725 [Computer Applications Essentials],3.0,"Teaches essential skills for using Microsoft Office applications, including Word, Excel, PowerPoint, and Access, with a focus on productivity and organizational tools.",CTE Dual Credit,110901,Skagit Valley College,INFO 101,Computer Application Essentials,5.0,"Teaches essential computer skills, including proficiency in productivity software like word processors, spreadsheets, and presentation tools, to enhance workplace and academic performance.",Computer Science,11.0201,2025-2026,Active,Computer Application Essentials [INFO 101],[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Hospitality And Tourism,Skagit Valley,Mount Vernon High School,Culinary Arts I FCS630 [Cul Arts I],2.0,"Provides a comprehensive introduction to the culinary arts, including cooking techniques, food safety, nutrition, and kitchen operations in a professional environment.",CTE Dual Credit,120500,Skagit Valley College,CARTS 101,Culinary Arts I - Intro Fundamentals to Culinary Arts,5.0,"Provides an introduction to the basics of culinary arts, focusing on foundational cooking techniques, kitchen safety, and food preparation.",Culinary Arts,12.05,2025-2026,Pending,Culinary Arts I Intro Fundamentals to Culinary Arts,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Hospitality And Tourism,Skagit Valley,Sequoia High School,Culinary 2 [Culinary Arts II],1.0,"Builds on Culinary Arts I, focusing on advanced culinary techniques, menu planning, and kitchen management, along with the preparation of a wider variety of dishes.",CiHS,120500,Skagit Valley College,CARTS 106,Culinary Arts II - Breakfast Methods,5.0,"Focuses on the preparation of breakfast dishes, including cooking eggs, meats, pancakes, waffles, and creating a variety of breakfast menu items.",Culinary Arts,12.05,2024-2027,Active,Culinary Arts II Breakfast Methods,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Hospitality And Tourism,Skagit Valley,Mount Vernon High School,Culinary 2 FCS635 [Culinary Arts III],1.0,"Focuses on mastering advanced cooking methods, creating complex dishes, and developing professional kitchen skills and time management.",CTE Dual Credit,120503,Skagit Valley College,CARTS 105,Culinary Arts III - Garde Manger I,5.0,"Advanced study of cold food preparation techniques, including the art of garnishing, presentation, and preparing cold appetizers and dishes.",Culinary Arts,12.05,2024-2027,Active,Culinary Arts III Garde Manger I,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Education And Training,Skagit Valley,Anacortes High School,Careers with Children - FCS726 [ECE Practicum grade P-3],3.0,"Provides hands-on experience working with young children in educational settings, focusing on early childhood education and child development principles.",Running Start,190708,Skagit Valley College,ECED& 120,Early Childhood Education Practicum (grades Pre-3),5.0,"Provides hands-on experience in early childhood education settings for children from birth to age 3, allowing students to apply theory and observe child development in real-world environments.",Early Childhood Education,13.121,2024-2027,Pending,Early Childhood Education Practicum - Nurturing Relationships (grades pre natal-3)  [ECED& 120],[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Education And Training,Everett,Blaine High School,Child Care Practicum I [ECE Practicum Grades Prenatal-3] // Child Care Practicum II [ECE Practicum Grades Prenatal-3],2.0,"Provides hands-on experience in early childhood education, focusing on the care and development of children from prenatal to age 3 in real-world settings.",CTE Dual Credit,190708,Everett Community College,ECED& 120,Early Childhood Education Practicum (grades Pre-3),3.0,"Provides hands-on experience in early childhood education settings, focusing on the care and education of children from birth to age 3, allowing students to apply theories and techniques in real-world classrooms.",Early Childhood Education,13.121,2024-2027,Pending,Early Childhood Education Practicum Grades Pre-3,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Education And Training,Everett,Ferndale High School,"Careers with Children - FCS726 [Health, Safety and Nutrition]",1.0,"Teaches the fundamentals of child health, safety, and nutrition, preparing students to support healthy development and well-being in early childhood settings.",Running Start,190708,Everett Community College,ECED&107,"Health, Safety and Nutrition",5.0,"Covers essential health, safety, and nutrition topics for young children, including proper care practices, emergency procedures, and promoting healthy eating habits in early childhood environments.",Early Childhood Education,13.1307,2024-2027,Pending,"Health, Nutrition, and Safety (ECED&107)",[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Education And Training,Everett,Blaine High School,Child Care Practicum II FCS733/FCS734 [Infant and Toddler Care] // Child Care Practicum III FCS7365/FCS736 [Infant and Toddler Care],1.0,"Focuses on the care and development of infants and toddlers, providing practical experience in handling children in this age group and applying early childhood education principles.",CTE Dual Credit,190708,Everett Community College,ECED& 132,Infant and Toddler Care,3.0,"Focuses on the development and care of infants and toddlers, including child development theories, creating nurturing environments, and implementing age-appropriate caregiving practices.",Early Childhood Education,13.121,2024-2026,Pending,Infant and Toddler Care,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Hospitality And Tourism,Everett,Squalicum High School,Culinary Arts 3 FCS639 [Intro to Baking] // Culinary Arts 3 FCS640 [Intro to Baking],1.0,"Introduces students to the art of baking, covering essential techniques in pastry making, bread baking, and dessert preparation with hands-on practice.",CTE Dual Credit,120500,Everett Community College,CARTS 111,Introduction to Baking,5.0,"Introduces students to the fundamentals of baking, including techniques for preparing breads, pastries, cakes, and desserts, with a focus on ingredients, measurements, and baking methods.",Culinary Arts,12.0501,2024-2026,Pending,Introduction to Baking,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Education And Training,Everett,Friday Harbor High School,Careers with Children - FCS726 [Intro to Early Childhood Ed],1.0,"Introduces students to the field of early childhood education, covering basic principles of child development and the role of educators in supporting young children.",CTE Dual Credit,190708,Everett Community College,ECED& 105,Introduction to Early Childhood Education,5.0,"Provides an overview of early childhood education, exploring child development, effective teaching strategies, and the role of educators in fostering a supportive learning environment.",Early Childhood Education,13.121,2023-2024,Expired,Introduction to Early Childhood Education [ECED& 105],[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Bellingham,Squalicum High School,Intro to Video Game Dsn I BAM681 [Intro to Programming],3.0,"Introduces students to programming concepts and video game design, teaching the basics of coding and game development using industry-standard tools.",CTE Dual Credit,110201,Bellingham Technical College,SOFT 102,Introduction to Programming,5.0,"Introduces students to programming concepts, focusing on logic, algorithms, and coding in a beginner-friendly programming language to develop problem-solving skills.",Computer Science,11.0201,2025-2026,Active,Introduction to Programming (hs class: Intro to Video Game Dsn),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
"Arts, A/V Technology, and Communications",Bellingham,Squalicum High School,Video Production I TAE731 [Intro to Video Production],3.0,"Provides an introduction to video production, including filming techniques, editing, and the fundamentals of creating a professional video project.",College in the High School,100202,Bellingham Technical College,BROAD 142,Basic Digital Video Editing (Intro to Video Prod),5.0,"Teaches the basics of video editing using industry-standard software, covering techniques for cutting, arranging, and enhancing video footage for professional-quality productions.",Visual Arts,50.0102,2025-2026,Active,Introduction to Video Production,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Bellingham,Squalicum High School,Intro to Engineering Dsn TAE611 [Two Dim Fund] // Intro to Engineering Dsn TAE612 [Two Dim Fund],3.0,"Introduces students to engineering design principles, focusing on two-dimensional drafting techniques and the basics of creating technical drawings and designs.",CTE Dual Credit,151302,Bellingham Technical College,ENGR& 111,Two Dimensional Fundamentals,5.0,"Introduces students to the basics of technical drawing, including 2D drafting, blueprint reading, and the use of design software for creating engineering drawings.",Engineering,15.1301,2025-2026,Active,Two Dimensional Fundamentals,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Manufacturing,Skagit Valley,Squalicum High School,Woods Technology IND100 [Cabinet/Millwork I] // Woods Technology IND111 [Cabinet/Millwork I],1.0,"Introduces the basics of woodworking and cabinet making, focusing on tools, materials, and techniques required for creating wood projects and furniture.",CiHS,460201,San Juan College,ARWC 104,Cabinet/Millwork I Materials,5.0,"Focuses on the materials used in cabinet making and millwork, including wood types, finishes, and tools, as well as techniques for constructing cabinetry and other wood projects.",Advanced Manufacturing And Design,46.0201,2024-2027,Pending,Cabinet/Millwork I Materials,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Manufacturing,Skagit Valley,Mount Vernon High School, Core Plus Construction A [Carpentry] // Core Plus Construction B [Carpentry],1.0,"Introduces students to carpentry, focusing on building techniques, construction materials, and tools used in residential and commercial construction projects.",Running Start,460201,San Juan College,"CARPT: 101, 102, 103, 104",Carpentry,5.0,"A series of courses that cover the fundamentals of carpentry, from tools and materials to advanced construction techniques, focusing on residential and commercial carpentry projects.",Advanced Manufacturing And Design,46.0201,2024-2027,Active,Carpentry,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
"Arts, A/V Technology, and Communications",Skagit Valley,Sedro-Woolley High School,Film Cinematography 2 A - TEC130 // IB Film Cinematography 2 B - TEC135,1.0,"Provides advanced cinematography skills, focusing on techniques for capturing high-quality film visuals, lighting, camera operation, and storytelling through film.",CTE Dual Credit,100202,Skagit Valley College,BROAD 142,Basic Digital Video Editing (Intro to Video Prod),1.0,"Teaches the basics of video editing using industry-standard software, covering techniques for cutting, arranging, and enhancing video footage for professional-quality productions.",Visual Arts,50.0102,2024-2027,Active,Introduction to Video Production,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Skagit Valley,Sedro-Woolley High School,AJAC - Tech Drawing [BluePrint Reading Youth Apprent],3.0,"Teaches students how to read and understand blueprints, focusing on technical drawings used in manufacturing, construction, and engineering fields.",CTE Dual Credit,151302,Skagit Valley College,MACH 119 (IMMA 101/APM 103/PMF 202),BluePrint Reading (youth apprenticeship),5.0,"Teaches students how to read and interpret blueprints, focusing on technical drawings used in manufacturing and construction, essential for the youth apprenticeship program in the trades.",Engineering,15.1301,2024-2027,Active,BluePrint Reading (Youth Apprenticeship),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Manufacturing,Bellingham,Blaine High School,AJAC - Prec Mach I [Production Technician Youth Apprent] // AJAC - Prec Mach II [Production Technician Youth Apprent],1.0,"Introduces students to precision machining, including the operation of machines, blueprint interpretation, and the production of mechanical parts.",CTE Dual Credit,151302,Bellingham Technical College,"APM 101, APM 102, APM 103",Production Technician (youth apprenticeship),5.0,"A series of courses focused on developing skills for production technicians, covering industrial processes, machinery, safety protocols, and technical skills required for youth apprenticeships in manufacturing.",Advanced Manufacturing And Design,15.0612,2024-2027,Active,Production Technician (Youth Apprenticeship),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Everett,Blaine High School,Computer Essentials A BUS201 [Computer Science] // Computer Essentials B BUS201 [Computer Science],1.0,"Covers the basics of computer systems and applications, including hardware, software, and fundamental digital literacy skills required for academic and professional success.",CTE Dual Credit,110701,Everett Community College,SOFT 101,Introduction to Information Technology [Computer Science],5.0,"Provides an overview of information technology, including computer systems, software, networks, and IT problem-solving techniques, preparing students for careers in the tech industry.",Data Management and Analytics,11.0201,2024-2027,Active,Computer Science,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Bellingham,Sedro-Woolley High School,Microsoft Office - CTE234 [Computer App Essentials],1.0,"Teaches students how to efficiently use Microsoft Office tools, including Word, Excel, PowerPoint, and Access, focusing on productivity and workplace skills.",CTE Dual Credit,110201,Bellingham Technical College,INFO 101,Computer Application Essentials,5.0,"Teaches foundational computer skills with an emphasis on productivity software such as word processors, spreadsheets, and presentation tools, enhancing digital literacy for academic and professional environments.",Computer Science,11.0201,2025-2026,Active,Computer Application Essentials,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Skagit Valley,Lakewood High School,Computer Science sem 1 - CTE207 // Computer Science sem 2 - CTE207,1.0,"Introduces students to the fundamentals of computer science, including programming, algorithm development, and problem-solving techniques in computing.",CTE Dual Credit,110701,Skagit Valley College,WEB 102,Web Development I (HTML Basics) (Computer Science),5.0,"Provides an overview of information technology, including computer systems, software, networks, and IT problem-solving techniques, preparing students for careers in the tech industry.",Computer Science,11.0201,2025-2026,Active,Computer Science,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Education And Training,Bellingham,Lakewood High School,Daycare Aide - CTE307 [Early Childhood Education Practicum Grades Pre-3],1.0,"Offers hands-on experience in early childhood education settings, assisting in daycare environments and learning practical caregiving skills for young children.",CTE Dual Credit,190708,Whatcom Community College,ECED& 120,Early Childhood Education Practicum (grades Pre-3),5.0,"Provides hands-on experience in early childhood education settings, focusing on the care and education of children from birth to age 3, allowing students to apply theories and techniques in real-world classrooms.",Early Childhood Education,13.121,2024-2027,Active,Early Childhood Education Practicum Grades Pre-3,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Education And Training,Bellingham,Lakewood High School,Early Childhood Education - CTE310 [Intro to ECE],2.0,"Provides an introduction to the principles of early childhood education, exploring child development, teaching methods, and career opportunities in the field.",CTE Dual Credit,190708,Whatcom Community College,ECED& 105,Introduction to Early Childhood Education,5.0,"Provides an overview of early childhood education, exploring child development, effective teaching strategies, and the role of educators in fostering a supportive learning environment.",Early Childhood Education,13.121,2024-2027,Active,Introduction to Early Care and Education,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
"Arts, A/V Technology, and Communications",Bellingham,Lakewood High School,Radio and Podcasting - CTE522 [Intro to Video Prod] // Video Production - CTE519 [Intro to Video Prod],1.0,"Focuses on the production of radio and podcast content, covering scriptwriting, audio recording, editing, and broadcast production techniques.",CTE Dual Credit,100202,Whatcom Community College,BROAD 132,Intro to Studio and Field Production (Intro to Video Prod),5.0,"Provides an introduction to both studio and field video production, focusing on camera operation, lighting, sound, and other aspects of professional video production.",Visual Arts,50.0102,2024-2027,Active,Introduction to Video Production [BROAD 132],[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Manufacturing,Bellingham,Sedro-Woolley High School,Adv Metals - CTE556 [Oxy-Acetylene Cutting/Welding] // Metals - CTE553 [Oxy-Acetylene Cutting/Welding],1.0,"Teaches advanced techniques in welding, focusing on oxy-acetylene cutting, metal fabrication, and safe welding practices for industrial applications.",CTE Dual Credit,480508,Whatcom Community College,WELD 104,Oxy-Acetylene Cutting/Welding,5.0,"Introduces students to oxy-acetylene welding and cutting techniques, focusing on safe practices, equipment use, and the fundamentals of working with metals in the welding trade.",Welding Technology,15.0614,2024-2027,Active,Oxy-Acetylene Cutting/Welding,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Manufacturing,Bellingham,Mount Vernon High School,Adv Metals - CTE556 [SMAW] // Metals - CTE553 [SMAW],1.0,"Focuses on advanced Shielded Metal Arc Welding (SMAW) techniques, including joint preparation, welding positions, and working with different metals.",CTE Dual Credit,480508,Whatcom Community College,WELD 105,Shielded Metal Arc Welding,5.0,"Teaches the basics of Shielded Metal Arc Welding (SMAW), focusing on equipment use, welding techniques, and safety measures for creating strong, durable welds in various materials.",Welding Technology,15.0614,2025-2026,Active,Shielded Metal Arc Welding,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Bellingham,Coupeville High School,Empowering Your Future [Computer Application Essentials],1.0,"Introduces essential computer skills, including the use of productivity software such as word processors, spreadsheets, and presentations to enhance digital literacy.",CTE Dual Credit,110201,Whatcom Community College,INFO 101,Computer Application Essentials,5.0,"Teaches foundational computer skills with an emphasis on productivity software such as word processors, spreadsheets, and presentation tools, enhancing digital literacy for academic and professional environments.",Computer Science,11.0201,2025-2026,Active,Computer Application Essentials,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Hospitality And Tourism,Bellingham,Sedro-Woolley High School,"Culinary Arts 1, sem 1 [Culinary Arts I] // Culinary Arts 1, sem 2 [Culinary Arts I]",1.0,"Covers basic culinary techniques, food safety, kitchen tools, and the fundamentals of food preparation in a hands-on, introductory culinary class.",CTE Dual Credit,120500,Whatcom Community College,CARTS 101,Culinary Arts I - Intro Fundamentals to Culinary Arts,5.0,"Introduces the foundational principles of culinary arts, including kitchen safety, cooking techniques, and food preparation methods to prepare students for professional culinary environments.",Culinary Arts,12.05,2025-2027,Active,Culinary Arts I,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Bellingham,Heritage High School,Web Design 1 CTT151 [HTML Basics],1.0,"Introduces students to web design, focusing on HTML, CSS, and basic web development techniques to create and maintain simple websites.",CTE Dual Credit,110801,Bellingham Technical College,WEB 102,Web Development I (HTML Basics) (Computer Science),5.0,"Teaches HTML and CSS, providing students with the essential skills needed to create basic websites and understand the structure of web pages.",Data Management and Analytics,11.0201,2025-2027,Active,HTML Basics,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Bellingham,Heritage High School,Introduction to Programming 1 // Introduction to Programming 2,1.0,"Teaches foundational programming concepts and logic using an introductory programming language, focusing on algorithms and basic coding structures.",CTE Dual Credit,110201,Bellingham Technical College,SOFT 102,Introduction to Programming,5.0,"Offers a beginner-friendly introduction to programming, teaching the fundamentals of coding, algorithm development, and problem-solving skills.",Computer Science,11.0201,2025-2027,Active,Introduction to Programming,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Health Sciences,Bellingham,Mount Vernon High School,Healthcare Foundations A,1.0,"Introduces students to fundamental healthcare concepts, medical terminology, and basic patient care practices.",CTE Dual Credit,510799,Bellingham Technical College,AHE 120,Safety for Healthcare,5.0,Introduces workplace safety protocols and infection control practices in healthcare settings.,Nursing,51.3808,2025-2027,Active,Healthcare Foundations - A,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Bellingham,Mount Vernon High School,Computer Science Principles - AP,1.0,"Covers foundational computing concepts, programming, algorithms, cybersecurity, and the societal impact of technology.",CTE Dual Credit,110701,Bellingham Technical College,DEV 110,"C# Programming, Introduction to",5.0,"Teaches the basics of C# programming, object-oriented design, and application development.",Computer Science,11.0201,2025-2027,Active,Computer Science Principles (DEV 110),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
