College,College District,Articulation,College Program,Career Cluster,College Course,College Course Name,College Credits,College Course CIP Code,College Course Description,High School,HS Course Name,HS Course CIP Code,HS Course Credits,HS Course Description,Academic Years,Type of Credit,Status of Articulation
Bellevue,,Child Care Basics (ECED&100),,,ECED& 100,Child Care Basics,5.0,,"Introduces students to the basics of early childhood education, focusing on child development, caregiving, and creating a safe and stimulating learning environment.",,Careers with Children - FCS726 [Child Care Basics],,,"Introduces students to the fundamentals of child care, focusing on developmental stages, caregiving practices, and understanding children’s needs in early education settings.",,Running Start,Active
Skagit Valley College,,Computer Application Essentials [INFO 101],,,INFO 101,Computer Application Essentials,5.0,,"Teaches essential computer skills, including proficiency in productivity software like word processors, spreadsheets, and presentation tools, to enhance workplace and academic performance.",,Microsoft Office - BAM725 [Computer Applications Essentials],,,"Teaches essential skills for using Microsoft Office applications, including Word, Excel, PowerPoint, and Access, with a focus on productivity and organizational tools.",,CTE Dual Credit,Active
Skagit Valley College,,Culinary Arts I Intro Fundamentals to Culinary Arts,,,CARTS 101,Culinary Arts I - Intro Fundamentals to Culinary Arts,5.0,,"Provides an introduction to the basics of culinary arts, focusing on foundational cooking techniques, kitchen safety, and food preparation.",,Culinary Arts I FCS630 [Cul Arts I],,,"Provides a comprehensive introduction to the culinary arts, including cooking techniques, food safety, nutrition, and kitchen operations in a professional environment.",,CTE Dual Credit,Pending
Skagit Valley College,,Culinary Arts II Breakfast Methods,,,CARTS 106,Culinary Arts II - Breakfast Methods,5.0,,"Focuses on the preparation of breakfast dishes, including cooking eggs, meats, pancakes, waffles, and creating a variety of breakfast menu items.",,Culinary 2 [Culinary Arts II],,,"Builds on Culinary Arts I, focusing on advanced culinary techniques, menu planning, and kitchen management, along with the preparation of a wider variety of dishes.",,CiHS,Active
Skagit Valley College,,Culinary Arts III Garde Manger I,,,CARTS 105,Culinary Arts III - Garde Manger I,5.0,,"Advanced study of cold food preparation techniques, including the art of garnishing, presentation, and preparing cold appetizers and dishes.",,Culinary 2 FCS635 [Culinary Arts III],,,"Focuses on mastering advanced cooking methods, creating complex dishes, and developing professional kitchen skills and time management.",,CTE Dual Credit,Active
Skagit Valley College,,Early Childhood Education Practicum - Nurturing Relationships (grades pre natal-3)  [ECED& 120],,,ECED& 120,Early Childhood Education Practicum (grades Pre-3),5.0,,"Provides hands-on experience in early childhood education settings for children from birth to age 3, allowing students to apply theory and observe child development in real-world environments.",,Careers with Children - FCS726 [ECE Practicum grade P-3],,,"Provides hands-on experience working with young children in educational settings, focusing on early childhood education and child development principles.",,Running Start,Pending
Everett,,Early Childhood Education Practicum Grades Pre-3,,,ECED& 120,Early Childhood Education Practicum (grades Pre-3),3.0,,"Provides hands-on experience in early childhood education settings, focusing on the care and education of children from birth to age 3, allowing students to apply theories and techniques in real-world classrooms.",,Child Care Practicum I [ECE Practicum Grades Prenatal-3] // Child Care Practicum II [ECE Practicum Grades Prenatal-3],,,"Provides hands-on experience in early childhood education, focusing on the care and development of children from prenatal to age 3 in real-world settings.",,CTE Dual Credit,Pending
Everett,,"Health, Nutrition, and Safety (ECED&107)",,,ECED&107,"Health, Safety and Nutrition",5.0,,"Covers essential health, safety, and nutrition topics for young children, including proper care practices, emergency procedures, and promoting healthy eating habits in early childhood environments.",,"Careers with Children - FCS726 [Health, Safety and Nutrition]",,,"Teaches the fundamentals of child health, safety, and nutrition, preparing students to support healthy development and well-being in early childhood settings.",,Running Start,Pending
Everett,,Infant and Toddler Care,,,ECED& 132,Infant and Toddler Care,3.0,,"Focuses on the development and care of infants and toddlers, including child development theories, creating nurturing environments, and implementing age-appropriate caregiving practices.",,Child Care Practicum II FCS733/FCS734 [Infant and Toddler Care] // Child Care Practicum III FCS7365/FCS736 [Infant and Toddler Care],,,"Focuses on the care and development of infants and toddlers, providing practical experience in handling children in this age group and applying early childhood education principles.",,CTE Dual Credit,Pending
Everett,,Introduction to Baking,,,CARTS 111,Introduction to Baking,5.0,,"Introduces students to the fundamentals of baking, including techniques for preparing breads, pastries, cakes, and desserts, with a focus on ingredients, measurements, and baking methods.",,Culinary Arts 3 FCS639 [Intro to Baking] // Culinary Arts 3 FCS640 [Intro to Baking],,,"Introduces students to the art of baking, covering essential techniques in pastry making, bread baking, and dessert preparation with hands-on practice.",,CTE Dual Credit,Pending
Everett,,Introduction to Early Childhood Education [ECED& 105],,,ECED& 105,Introduction to Early Childhood Education,5.0,,"Provides an overview of early childhood education, exploring child development, effective teaching strategies, and the role of educators in fostering a supportive learning environment.",,Careers with Children - FCS726 [Intro to Early Childhood Ed],,,"Introduces students to the field of early childhood education, covering basic principles of child development and the role of educators in supporting young children.",,CTE Dual Credit,Expired
Bellingham,,Introduction to Programming (hs class: Intro to Video Game Dsn),,,SOFT 102,Introduction to Programming,5.0,,"Introduces students to programming concepts, focusing on logic, algorithms, and coding in a beginner-friendly programming language to develop problem-solving skills.",,Intro to Video Game Dsn I BAM681 [Intro to Programming],,,"Introduces students to programming concepts and video game design, teaching the basics of coding and game development using industry-standard tools.",,CTE Dual Credit,Active
Bellingham,,Introduction to Video Production,,,BROAD 142,Basic Digital Video Editing (Intro to Video Prod),5.0,,"Teaches the basics of video editing using industry-standard software, covering techniques for cutting, arranging, and enhancing video footage for professional-quality productions.",,Video Production I TAE731 [Intro to Video Production],,,"Provides an introduction to video production, including filming techniques, editing, and the fundamentals of creating a professional video project.",,College in the High School,Active
Bellingham,,Two Dimensional Fundamentals,,,ENGR& 111,Two Dimensional Fundamentals,5.0,,"Introduces students to the basics of technical drawing, including 2D drafting, blueprint reading, and the use of design software for creating engineering drawings.",,Intro to Engineering Dsn TAE611 [Two Dim Fund] // Intro to Engineering Dsn TAE612 [Two Dim Fund],,,"Introduces students to engineering design principles, focusing on two-dimensional drafting techniques and the basics of creating technical drawings and designs.",,CTE Dual Credit,Active
San Juan College,,Cabinet/Millwork I Materials,,,ARWC 104,Cabinet/Millwork I Materials,5.0,,"Focuses on the materials used in cabinet making and millwork, including wood types, finishes, and tools, as well as techniques for constructing cabinetry and other wood projects.",,Woods Technology IND100 [Cabinet/Millwork I] // Woods Technology IND111 [Cabinet/Millwork I],,1.0,"Introduces the basics of woodworking and cabinet making, focusing on tools, materials, and techniques required for creating wood projects and furniture.",,CiHS,Pending
San Juan,,Carpentry,,,"CARPT: 101, 102, 103, 104",Carpentry,5.0,,"A series of courses that cover the fundamentals of carpentry, from tools and materials to advanced construction techniques, focusing on residential and commercial carpentry projects.",Mountain High, Core Plus Construction A [Carpentry] // Core Plus Construction B [Carpentry],,1.0,"Introduces students to carpentry, focusing on building techniques, construction materials, and tools used in residential and commercial construction projects.",,Running Start,Active
Skagit Valley College,,Introduction to Video Production,,,BROAD 142,Basic Digital Video Editing (Intro to Video Prod),1.0,,"Teaches the basics of video editing using industry-standard software, covering techniques for cutting, arranging, and enhancing video footage for professional-quality productions.",,Film Cinematography 2 A - TEC130 // IB Film Cinematography 2 B - TEC135,,1.0,"Provides advanced cinematography skills, focusing on techniques for capturing high-quality film visuals, lighting, camera operation, and storytelling through film.",,CTE Dual Credit,Active
Skagit Valley College,,BluePrint Reading (Youth Apprenticeship),,,MACH 119 (IMMA 101/APM 103/PMF 202),BluePrint Reading (youth apprenticeship),5.0,,"Teaches students how to read and interpret blueprints, focusing on technical drawings used in manufacturing and construction, essential for the youth apprenticeship program in the trades.",,AJAC - Tech Drawing [BluePrint Reading Youth Apprent],,3.0,"Teaches students how to read and understand blueprints, focusing on technical drawings used in manufacturing, construction, and engineering fields.",,CTE Dual Credit,Active
Bellingham,,Production Technician (Youth Apprenticeship),,,"APM 101, APM 102, APM 103",Production Technician (youth apprenticeship),5.0,,"A series of courses focused on developing skills for production technicians, covering industrial processes, machinery, safety protocols, and technical skills required for youth apprenticeships in manufacturing.",,AJAC - Prec Mach I [Production Technician Youth Apprent] // AJAC - Prec Mach II [Production Technician Youth Apprent],,1.0,"Introduces students to precision machining, including the operation of machines, blueprint interpretation, and the production of mechanical parts.",,CTE Dual Credit,Active
Everett,,Computer Science,,,SOFT 101,Introduction to Information Technology [Computer Science],5.0,,"Provides an overview of information technology, including computer systems, software, networks, and IT problem-solving techniques, preparing students for careers in the tech industry.",,Computer Essentials A BUS201 [Computer Science] // Computer Essentials B BUS201 [Computer Science],,1.0,"Covers the basics of computer systems and applications, including hardware, software, and fundamental digital literacy skills required for academic and professional success.",,CTE Dual Credit,Active
Bellingham,,Computer Application Essentials,,,INFO 101,Computer Application Essentials,5.0,,"Teaches foundational computer skills with an emphasis on productivity software such as word processors, spreadsheets, and presentation tools, enhancing digital literacy for academic and professional environments.",,Microsoft Office - CTE234 [Computer App Essentials],,1.0,"Teaches students how to efficiently use Microsoft Office tools, including Word, Excel, PowerPoint, and Access, focusing on productivity and workplace skills.",,CTE Dual Credit,Active
Skagit,,Computer Science,,,WEB 102,Web Development I (HTML Basics) (Computer Science),5.0,,"Provides an overview of information technology, including computer systems, software, networks, and IT problem-solving techniques, preparing students for careers in the tech industry.",,Computer Science sem 1 - CTE207 // Computer Science sem 2 - CTE207,,1.0,"Introduces students to the fundamentals of computer science, including programming, algorithm development, and problem-solving techniques in computing.",,CTE Dual Credit,Active
Whatcom Community College,,Early Childhood Education Practicum Grades Pre-3,,,ECED& 120,Early Childhood Education Practicum (grades Pre-3),5.0,,"Provides hands-on experience in early childhood education settings, focusing on the care and education of children from birth to age 3, allowing students to apply theories and techniques in real-world classrooms.",,Daycare Aide - CTE307 [Early Childhood Education Practicum Grades Pre-3],,1.0,"Offers hands-on experience in early childhood education settings, assisting in daycare environments and learning practical caregiving skills for young children.",,CTE Dual Credit,Active
Whatcom Community College,,Introduction to Early Care and Education,,,ECED& 105,Introduction to Early Childhood Education,5.0,,"Provides an overview of early childhood education, exploring child development, effective teaching strategies, and the role of educators in fostering a supportive learning environment.",,Early Childhood Education - CTE310 [Intro to ECE],,2.0,"Provides an introduction to the principles of early childhood education, exploring child development, teaching methods, and career opportunities in the field.",,CTE Dual Credit,Active
Whatcom Community College,,Introduction to Video Production [BROAD 132],,,BROAD 132,Intro to Studio and Field Production (Intro to Video Prod),5.0,,"Provides an introduction to both studio and field video production, focusing on camera operation, lighting, sound, and other aspects of professional video production.",,Radio and Podcasting - CTE522 [Intro to Video Prod] // Video Production - CTE519 [Intro to Video Prod],,1.0,"Focuses on the production of radio and podcast content, covering scriptwriting, audio recording, editing, and broadcast production techniques.",,CTE Dual Credit,Active
Whatcom Community College,,Oxy-Acetylene Cutting/Welding,,,WELD 104,Oxy-Acetylene Cutting/Welding,5.0,,"Introduces students to oxy-acetylene welding and cutting techniques, focusing on safe practices, equipment use, and the fundamentals of working with metals in the welding trade.",,Adv Metals - CTE556 [Oxy-Acetylene Cutting/Welding] // Metals - CTE553 [Oxy-Acetylene Cutting/Welding],,1.0,"Teaches advanced techniques in welding, focusing on oxy-acetylene cutting, metal fabrication, and safe welding practices for industrial applications.",,CTE Dual Credit,Active
Whatcom Community College,,Shielded Metal Arc Welding,,,WELD 105,Shielded Metal Arc Welding,5.0,,"Teaches the basics of Shielded Metal Arc Welding (SMAW), focusing on equipment use, welding techniques, and safety measures for creating strong, durable welds in various materials.",,Adv Metals - CTE556 [SMAW] // Metals - CTE553 [SMAW],,1.0,"Focuses on advanced Shielded Metal Arc Welding (SMAW) techniques, including joint preparation, welding positions, and working with different metals.",,CTE Dual Credit,Active
Whatcom Community College,,Computer Application Essentials,,,INFO 101,Computer Application Essentials,5.0,,"Teaches foundational computer skills with an emphasis on productivity software such as word processors, spreadsheets, and presentation tools, enhancing digital literacy for academic and professional environments.",,Empowering Your Future [Computer Application Essentials],,1.0,"Introduces essential computer skills, including the use of productivity software such as word processors, spreadsheets, and presentations to enhance digital literacy.",,CTE Dual Credit,Active
Whatcom Community College,,Culinary Arts I,,,CARTS 101,Culinary Arts I - Intro Fundamentals to Culinary Arts,5.0,,"Introduces the foundational principles of culinary arts, including kitchen safety, cooking techniques, and food preparation methods to prepare students for professional culinary environments.",,"Culinary Arts 1, sem 1 [Culinary Arts I] // Culinary Arts 1, sem 2 [Culinary Arts I]",,1.0,"Covers basic culinary techniques, food safety, kitchen tools, and the fundamentals of food preparation in a hands-on, introductory culinary class.",,CTE Dual Credit,Active
Bellingham Technical College,,HTML Basics,,,WEB 102,Web Development I (HTML Basics) (Computer Science),5.0,,"Teaches HTML and CSS, providing students with the essential skills needed to create basic websites and understand the structure of web pages.",,Web Design 1 CTT151 [HTML Basics],,1.0,"Introduces students to web design, focusing on HTML, CSS, and basic web development techniques to create and maintain simple websites.",,CTE Dual Credit,Active
Bellingham Technical College,,Introduction to Programming,,,SOFT 102,Introduction to Programming,5.0,,"Offers a beginner-friendly introduction to programming, teaching the fundamentals of coding, algorithm development, and problem-solving skills.",,Introduction to Programming 1 // Introduction to Programming 2,,1.0,"Teaches foundational programming concepts and logic using an introductory programming language, focusing on algorithms and basic coding structures.",,CTE Dual Credit,Active
Bellingham Technical College,,Healthcare Foundations - A,,,AHE 120,Safety for Healthcare,5.0,,Introduces workplace safety protocols and infection control practices in healthcare settings.,,Healthcare Foundations A,,1.0,"Introduces students to fundamental healthcare concepts, medical terminology, and basic patient care practices.",,CTE Dual Credit,Active
Bellingham Technical College,,Computer Science Principles (DEV 110),,,DEV 110,"C# Programming, Introduction to",5.0,,"Teaches the basics of C# programming, object-oriented design, and application development.",,Computer Science Principles - AP,,1.0,"Covers foundational computing concepts, programming, algorithms, cybersecurity, and the societal impact of technology.",,CTE Dual Credit,Active
Bellingham Technical College,,Fire Service Physical Fitness I (drill team),,,FIRES 104,Fire Service Physical Fitness I,5.0,,Focuses on fitness training and conditioning tailored for fire service professionals.,,NJROTC Drill Team 1A/1B (fire svs phys fitness),,1.0,"Focuses on military drill training, physical fitness, and discipline, with an emphasis on fire service readiness.",,CTE Dual Credit,Active
Bellingham Technical College,,Graphic Design (DMA 103),,,DMA 103,Digital 2D Design,3.0,,"Explores digital illustration, composition, and design principles using industry-standard software.",,Computer Graphics OR Graphic Arts,,1.0,"Explores digital design, visual communication, and graphic software tools like Adobe Photoshop and Illustrator.",,CTE Dual Credit,Active
Bellingham Technical College,,Introduction to Soils,,,ENV 108,Introduction to Ecology,5.0,,"Examines ecological principles, environmental interactions, and conservation strategies.",,Pac NW Plants/Wildlife 1 [Intro to Soils] // Pac NW Plants/Wildlife 2 [Intro to Soils],,1.0,"Examines regional plant and wildlife ecosystems, emphasizing soil science and conservation practices.",,CTE Dual Credit,Active
Bellingham Technical College,,"Computer Science, AP (CS 210)",,,CS 210,Fundamentals of Computer Science I,5.0,,"Covers algorithms, data structures, and computational problem-solving techniques.",,Computer Science AP (yearlong),,2.0,"A rigorous programming-focused course covering Java, object-oriented design, and problem-solving.",,CTE Dual Credit,Active
Everett Community College,,Horticulture Science AGR 261,,, AGR 261,AGR 261 Plant Science,5.0,,"Studies plant biology, growth, and agricultural applications.",,Horticulture Science - AGR 261,,1.0,"Studies plant biology, propagation, landscaping, and sustainable horticultural practices.",,CTE Dual Credit,Active
Everett Community College,,Introduction to Baking,,,CUL 113,Introduction to Baking,5.0,,"Teaches fundamental baking techniques, ingredient functions, and pastry production.",,Baking and Pastry [Intro to Baking],,1.0,"Covers fundamental baking techniques, ingredient functions, and pastry preparation.",,CTE Dual Credit,Active
Everett Community College,,Digital Photography,,,DED 177,Digital Photography,5.0,,"Introduces camera operation, composition, and photo editing techniques.",,Digital Arts and Filmmaking 1 (540 hrs) [Digital Photography] // Digital Arts and Filmmaking 2 (540 hrs) [Digital Photography],,1.0,"Introduces filmmaking, digital photography, and multimedia storytelling techniques.",,CTE Dual Credit,Active
Everett Community College,,DMA 201/Advanced Video Production,,,DMA 201,Video and Sound Production I,5.0,,"Covers video shooting, editing, and audio production fundamentals.",,Advanced Video Production,,1.0,"Provides hands-on experience in advanced filmmaking, editing, and production techniques.",,CTE Dual Credit,Active
Everett Community College,,Business Communications (hs class: stem),,,RBM 111,Business Communications,5.0,,"Develops professional writing, presentation, and workplace communication skills.",,WBL STEM 350831 // WBL STEM 350832,,1.0,"Work-Based Learning (WBL) opportunities in STEM fields, integrating classroom knowledge with real-world experience.",,CTE Dual Credit,Active
Everett Community College,,Introduction to Nutrition,,,NUTR& 101,Introduction to Nutrition,5.0,,"Explores human nutrition, dietary guidelines, and the role of nutrients in health.",,Nutrition and Wellness - 807101 [Intro to Nutrition],,1.0,"Examines the principles of nutrition, healthy living, and dietary planning.",,CTE Dual Credit,Active
Everett Community College,,CTEC 121/AP Computer Science A,,,CTEC 121,Intro to Programming & Problem Solving,5.0,,"Focuses on programming logic, algorithm development, and software design.",,AP Computer Science A,,2.0,"A college-level course focusing on Java programming, algorithms, and data structures.",,CTE Dual Credit,Active
Everett Community College,,American Sign Language I,,,ASL& 121,American Sign Language I,5.0,,"Introduces ASL vocabulary, grammar, and Deaf culture.",,ASL I FL2011 // ASL I FL2012,,1.0,"Introduces American Sign Language, including basic vocabulary, grammar, and Deaf culture.",,CTE Dual Credit,Active
Everett Community College,,IT Fundamentals,,,NOS 106,IT Fundamentals,5.0,,"Covers foundational IT concepts, hardware, software, and networking basics.",,ITS & Cybersecurity 1 [IT Fundamentals] // ITS & Cybersecurity 2 [IT Fundamentals] // ITS & Cybersecurity 3 [IT Fundamentals],,1.0,"Covers IT basics, networking, security principles, and cyber defense strategies.",,CTE Dual Credit,Active
Everett Community College,,Pharmacy Tech - PHARM 131,,,PHARM 131,Pharmacy Law and Ethics,5.0,,"Examines legal regulations, ethical considerations, and pharmacy practice standards.",,Pharmacy Tech - Pharm 131,,1.0,"Prepares students for pharmacy technician roles, covering pharmacology, prescriptions, and healthcare ethics.",,CTE Dual Credit,Active
Everett Community College,,AGSCI 130 Intro to Animal Science,,,AGSCI 130,AGSCI 130 Intro to Animal Science,5.0,,"Studies animal biology, husbandry, and livestock management.",,AGSCI 130 Intro to Animal Science,,1.0,"Explores animal biology, nutrition, breeding, and livestock management.",,CTE Dual Credit,Active
Everett Community College,,Kinesiology,,,KINS 250,Kinesiology,5.0,,"Explores human movement, biomechanics, and physical activity principles.",,Sports Science - SCI371 [Kinesiology] // Sports Science - SCI372 [Kinesiology],,1.0,"Examines human movement, sports performance, and exercise physiology.",,CTE Dual Credit,Active
Everett Community College,,CUIS 146/Cooking Intro & Cooking Essentials,,,CUIS 146,Culinary Essentials,5.0,,"Covers fundamental cooking techniques, food preparation, and kitchen safety.",,Cooking Essentials // Cooking Intro,,1.0,"Provides hands-on experience with basic cooking techniques, food safety, and meal preparation.",,CTE Dual Credit,Active
Everett Community College,,Video Game Design (GAME 101),,,GAME 101,Intro to Video Game Development,5.0,,"Introduces game design principles, programming, and industry trends.",,Video Game Design,,1.0,"Teaches game development, coding, and design principles using industry-standard tools.",,CTE Dual Credit,Active
Everett Community College,,BUS 160/Financial Literacy,,,BUS 160,Personal Finance,3.0,,"Teaches budgeting, credit management, and financial planning strategies.",,Financial Literacy,,1.0,"Covers personal finance topics such as budgeting, credit, investments, and financial decision-making.",,CTE Dual Credit,Active
Edmonds Community College,,Food Science (CART 115),,,CART 115,Food Service Safety and Sanitation,3.0,,"Covers food safety regulations, sanitation procedures, and ServSafe certification.",,Food Science,,1.0,"Examines the chemistry and biology behind food production, processing, and safety.",,CTE Dual Credit,Active
Edmonds Community College,,Digital Imaging I Adobe Photoshop,,,GTC 132,Digital Imaging I: Adobe Photoshop,5.0,,"Focuses on image editing, retouching, and digital design using Photoshop.",,Photography 1/AP Photography 927411 [Digital Imaging I: Adobe PS] // Photography 1/AP Photography 927413 [Digital Imaging I: Adobe PS],,1.0,"Introduces digital photography, composition, and editing using Adobe Photoshop.",,CTE Dual Credit,Active
Edmonds Community College,,Biotechnology (BIOL 274),,,BIOL 274,Molecular Biology Lab,5.0,,Provides hands-on experience in molecular biology techniques and genetic analysis.,,Biotechnology (407SCI),,2.0,"Covers lab techniques, genetics, and biotech applications in medicine and agriculture.",,CTE Dual Credit,Active
Edmonds Community College,,Cosmetology Year 1 - 1 of 3  Intro to Cosmetology (COS 101),,,COS 101,Introduction to Cosmetology (COS 101),5.0,,"Covers basic cosmetology concepts, hair care, and salon safety practices.",,COSMETOLOGY YEAR ONE - 1 of  3 Intro to Cosmetology  (COS 101),,1.0,"Introduces hairstyling, skincare, and cosmetology industry standards.",,CTE Dual Credit,Active
Edmonds Community College,,"Agriculture, Food, Natural Resources / SAGE 150",,,SAGE 150,Sustainable Agriculture,5.0,,"Examines eco-friendly farming techniques, soil conservation, and sustainable food systems.",,"Agriculture, Food, Natural Resources",,1.0,"Explores agricultural science, food production, and environmental sustainability.",,CTE Dual Credit,Active
