College,College District,Articulation,College Program,Career Cluster,College Course,College Course Name,College Credits,College Course CIP Code,College Course Description,High School,HS Course Name,HS Course CIP Code,HS Course Credits,HS Course Description,Academic Years,Type of Credit,Status of Articulation
Skagit Valley College,,Computer Application Essentials [INFO 101],,,Computer Application Essentials INFO 101,,,,"Teaches essential computer skills, including proficiency in productivity software like word processors, spreadsheets, and presentation tools, to enhance workplace and academic performance.",,Microsoft Office - BAM725 [Computer Applications Essentials],,,"Teaches essential skills for using Microsoft Office applications, including Word, Excel, PowerPoint, and Access, with a focus on productivity and organizational tools.",,CTE Dual Credit,Active
Skagit Valley College,,Culinary Arts I Intro Fundamentals to Culinary Arts,,,Culinary Arts I - Intro Fundamentals to Culinary Arts CARTS 101,,,,"Provides an introduction to the basics of culinary arts, focusing on foundational cooking techniques, kitchen safety, and food preparation.",,Culinary Arts I FCS630 [Cul Arts I],,,"Provides a comprehensive introduction to the culinary arts, including cooking techniques, food safety, nutrition, and kitchen operations in a professional environment.",,CTE Dual Credit,Pending
Skagit Valley College,,Culinary Arts II Breakfast Methods,,,Culinary Arts II - Breakfast Methods CARTS 106,,,,"Focuses on the preparation of breakfast dishes, including cooking eggs, meats, pancakes, waffles, and creating a variety of breakfast menu items.",,Culinary 2 [Culinary Arts II],,,"Builds on Culinary Arts I, focusing on advanced culinary techniques, menu planning, and kitchen management, along with the preparation of a wider variety of dishes.",,CiHS,Active
Skagit Valley College,,Culinary Arts III Garde Manger I,,,Culinary Arts III - Garde Manger I CARTS 105,,,,"Advanced study of cold food preparation techniques, including the art of garnishing, presentation, and preparing cold appetizers and dishes.",,Culinary 2 FCS635 [Culinary Arts III],,,"Focuses on mastering advanced cooking methods, creating complex dishes, and developing professional kitchen skills and time management.",,CTE Dual Credit,Active
Skagit Valley College,,Early Childhood Education Practicum - Nurturing Relationships (grades pre natal-3)  [ECED& 120],,,Early Childhood Education Practicum (grades Pre-3) ECED& 120,,,,"Provides hands-on experience in early childhood education settings for children from birth to age 3, allowing students to apply theory and observe child development in real-world environments.",,Careers with Children - FCS726 [ECE Practicum grade P-3],,,"Provides hands-on experience working with young children in educational settings, focusing on early childhood education and child development principles.",,Running Start,Pending
Everett,,Early Childhood Education Practicum Grades Pre-3,,,Early Childhood Education Practicum (grades Pre-3) ECED& 120,,,,"Provides hands-on experience in early childhood education settings, focusing on the care and education of children from birth to age 3, allowing students to apply theories and techniques in real-world classrooms.",,Child Care Practicum I [ECE Practicum Grades Prenatal-3] // Child Care Practicum II [ECE Practicum Grades Prenatal-3],,,"Provides hands-on experience in early childhood education, focusing on the care and development of children from prenatal to age 3 in real-world settings.",,CTE Dual Credit,Pending
Everett,,"Health, Nutrition, and Safety (ECED&107)",,,"Health, Safety and Nutrition ECED&107",,,,"Covers essential health, safety, and nutrition topics for young children, including proper care practices, emergency procedures, and promoting healthy eating habits in early childhood environments.",,"Careers with Children - FCS726 [Health, Safety and Nutrition]",,,"Teaches the fundamentals of child health, safety, and nutrition, preparing students to support healthy development and well-being in early childhood settings.",,Running Start,Pending
Everett,,Infant and Toddler Care,,,Infant and Toddler Care ECED& 132,,,,"Focuses on the development and care of infants and toddlers, including child development theories, creating nurturing environments, and implementing age-appropriate caregiving practices.",,Child Care Practicum II FCS733/FCS734 [Infant and Toddler Care] // Child Care Practicum III FCS7365/FCS736 [Infant and Toddler Care],,,"Focuses on the care and development of infants and toddlers, providing practical experience in handling children in this age group and applying early childhood education principles.",,CTE Dual Credit,Pending
Everett,,Introduction to Baking,,,Introduction to Baking CARTS 111,,,,"Introduces students to the fundamentals of baking, including techniques for preparing breads, pastries, cakes, and desserts, with a focus on ingredients, measurements, and baking methods.",,Culinary Arts 3 FCS639 [Intro to Baking] // Culinary Arts 3 FCS640 [Intro to Baking],,,"Introduces students to the art of baking, covering essential techniques in pastry making, bread baking, and dessert preparation with hands-on practice.",,CTE Dual Credit,Pending
Everett,,Introduction to Early Childhood Education [ECED& 105],,,Introduction to Early Childhood Education ECED& 105,,,,"Provides an overview of early childhood education, exploring child development, effective teaching strategies, and the role of educators in fostering a supportive learning environment.",,Careers with Children - FCS726 [Intro to Early Childhood Ed],,,"Introduces students to the field of early childhood education, covering basic principles of child development and the role of educators in supporting young children.",,CTE Dual Credit,Expired
Bellingham,,Introduction to Programming (hs class: Intro to Video Game Dsn),,,Introduction to Programming SOFT 102,,,,"Introduces students to programming concepts, focusing on logic, algorithms, and coding in a beginner-friendly programming language to develop problem-solving skills.",,Intro to Video Game Dsn I BAM681 [Intro to Programming],,,"Introduces students to programming concepts and video game design, teaching the basics of coding and game development using industry-standard tools.",,CTE Dual Credit,Active
Bellingham,,Introduction to Video Production,,,Basic Digital Video Editing (Intro to Video Prod) BROAD 142 // Intro to Studio and Field Production (Intro to Video Prod) BROAD 132,,,,"Teaches the basics of video editing using industry-standard software, covering techniques for cutting, arranging, and enhancing video footage for professional-quality productions.",,Video Production I TAE731 [Intro to Video Production],,,"Provides an introduction to video production, including filming techniques, editing, and the fundamentals of creating a professional video project.",,College in the High School,Active
Bellingham,,Two Dimensional Fundamentals,,, Two Dimensional Fundamentals ENGR& 111,,,,"Introduces students to the basics of technical drawing, including 2D drafting, blueprint reading, and the use of design software for creating engineering drawings.",,Intro to Engineering Dsn TAE611 [Two Dim Fund] // Intro to Engineering Dsn TAE612 [Two Dim Fund],,,"Introduces students to engineering design principles, focusing on two-dimensional drafting techniques and the basics of creating technical drawings and designs.",,CTE Dual Credit,Active
San Juan College,,Cabinet/Millwork I Materials,,,ARWC 104,Cabinet/Millwork I Materials,5.0,,"Focuses on the materials used in cabinet making and millwork, including wood types, finishes, and tools, as well as techniques for constructing cabinetry and other wood projects.",,Woods Technology IND100 [Cabinet/Millwork I] // Woods Technology IND111 [Cabinet/Millwork I],,1.0,"Introduces the basics of woodworking and cabinet making, focusing on tools, materials, and techniques required for creating wood projects and furniture.",,CiHS,Pending
San Juan,,Carpentry,,,"CARPT: 101, 102, 103, 104",Carpentry,5.0,,"A series of courses that cover the fundamentals of carpentry, from tools and materials to advanced construction techniques, focusing on residential and commercial carpentry projects.",Mountain High, Core Plus Construction A [Carpentry] // Core Plus Construction B [Carpentry],,1.0,"Introduces students to carpentry, focusing on building techniques, construction materials, and tools used in residential and commercial construction projects.",,Running Start,Active
San Juan College,,Cabinet/Millwork I Materials,,,ARWC 104,Cabinet/Millwork I Materials,5.0,,"Focuses on the materials used in cabinet making and millwork, including wood types, finishes, and tools, as well as techniques for constructing cabinetry and other wood projects.",,Woods Technology IND100 [Cabinet/Millwork I] // Woods Technology IND111 [Cabinet/Millwork I],,1.0,"Introduces the basics of woodworking and cabinet making, focusing on tools, materials, and techniques required for creating wood projects and furniture.",,CiHS,Pending
San Juan College,,Cabinet/Millwork I Materials,,,ARWC 104,Cabinet/Millwork I Materials,5.0,,"Focuses on the materials used in cabinet making and millwork, including wood types, finishes, and tools, as well as techniques for constructing cabinetry and other wood projects.",,Woods Technology IND100 [Cabinet/Millwork I] // Woods Technology IND111 [Cabinet/Millwork I],,1.0,"Introduces the basics of woodworking and cabinet making, focusing on tools, materials, and techniques required for creating wood projects and furniture.",,CiHS,Pending
